RH,Res,Disc
81,78,85
74,80,19
84,66,22
10,97,37
7,3,50
60,59,59
9,6,30
91,31,27
15,69,43
84,75,52
61,64,48
79,88,39
80,90,71
1,3,2
79,82,58
83,92,43
79,41,49
76,79,80
69,79,69
71,87,89
97,86,86
39,25,43
75,85,42
9,12,33
75,85,43
13,82,29
42,23,23
87,64,32
79,93,76
92,80,75
5,17,10
95,82,69
80,90,79
70,81,71
38,88,72
78,80,50
78,90,39
71,65,65
14,15,19
80,75,52
16,20,13
71,75,39
